Fecha,Índice,Variaciones intermensuales MSE 2023,Combinación lineal óptima MSE 2023
01/08/2022,297.18396,0.8579254,8.38038444519043
01/09/2022,299.2775,0.7044554,8.843121528625488
01/10/2022,301.71054,0.8129716,9.307243347167969
01/11/2022,303.28998,0.5234957,9.277963638305664
01/12/2022,304.76233,0.485456,9.26044750213623
01/01/2023,306.16714,0.46095848,9.255535125732422
01/02/2023,307.961,0.58590174,9.219210624694824
01/03/2023,309.40573,0.46912432,8.62696361541748
01/04/2023,310.6856,0.41365623,8.209726333618164
01/05/2023,311.56418,0.28278828,7.616847038269043
01/06/2023,312.62363,0.3400445,6.954329490661621
01/07/2023,313.94363,0.4222393,6.545801162719727
01/08/2023,315.58286,0.5221367,6.191075325012207
01/09/2023,316.84644,0.40040016,5.870450973510742
01/10/2023,318.86014,0.6355405,5.6841301918029785
01/11/2023,319.5627,0.22033453,5.36541223526001
01/12/2023,320.11325,0.17228127,5.0370049476623535
